pred,label
0.00019039972,-1
7.805332e-05,-1
0.0014447392,-1
2.7703818e-05,-1
0.10513748,-1
0.0073085707,-1
0.2681684,1
0.9999981,1
0.99991703,1
0.99364555,1
0.9999722,1
0.99999785,1
0.9999901,1
1.0,1
0.99998355,1
0.9977852,1
0.0021228376,-1
0.00030559066,-1
2.8316208e-05,-1
0.9999999,1
0.00013422444,-1
0.0001052026,-1
0.9999982,1
0.99930215,1
6.2184204e-06,-1
0.99999964,1
0.00016735359,-1
0.99889994,1
6.6005865e-05,-1
0.062190916,-1
0.9999906,1
0.99999404,1
0.00024560306,-1
0.0034240203,-1
0.99999917,1
0.9999999,1
0.13042143,-1
0.00017131244,-1
0.99998975,1
0.00056093954,-1
0.9999999,1
0.9999957,1
0.0014997678,-1
0.99999857,1
2.658569e-06,-1
0.0002696254,-1
0.9999956,1
0.21666755,-1
0.9999981,1
0.99999976,1
0.9992568,1
0.9999999,1
0.9808661,1
0.0015179355,-1
1.0,1
0.00013991249,-1
0.9999976,1
0.99999905,1
0.0005741727,-1
0.0001427228,-1
0.99999726,1
0.999982,1
0.0003137292,-1
0.9999851,1
0.71492904,1
0.00015441282,-1
0.99999917,1
0.00021115104,-1
0.00024524832,-1
0.98570305,1
0.00016111383,-1
0.9995327,1
0.036194865,-1
0.999984,1
0.00012297944,-1
0.99999976,1
0.9999999,1
0.00017788993,-1
0.20823716,-1
4.0233568e-05,-1
0.0018121437,-1
0.0031267756,-1
0.9999696,1
0.9944891,1
0.9513999,1
0.9999968,1
0.001266384,-1
2.14829e-05,-1
4.468623e-05,-1
0.99988973,1
0.9999937,1
8.287643e-05,-1
2.4477797e-05,-1
0.00019489825,-1
0.99863476,1
0.9999331,1
0.9999268,1
0.9999999,1
0.004365363,-1
0.0002172099,-1
0.00038198842,-1
0.00030063782,-1
0.9999949,1
0.99999547,1
0.0005978757,-1
0.99999344,1
0.00016921297,-1
0.00016725979,-1
0.99997246,1
0.00045897832,-1
0.9992754,1
0.0017672157,-1
0.99999976,1
0.0001715892,-1
0.9999943,1
0.9999716,1
0.9999927,1
1.601768e-05,-1
0.0005575242,-1
0.0004773874,-1
0.97493774,1
0.9920345,1
0.002761513,-1
0.0002505792,-1
0.99999976,1
0.00015330783,-1
5.6894027e-05,-1
0.00015756316,-1
0.99826306,1
6.259895e-05,-1
0.00010156637,-1
0.0015882554,1
0.00050209905,-1
0.99998796,1
0.0003978566,-1
0.99925584,1
1.7123552e-05,-1
0.9999995,1
0.9988417,1
0.9999975,1
0.85864633,1
0.99999857,1
0.99413115,1
0.99629325,1
0.0008739113,-1
0.9999981,1
0.027483271,-1
0.0050993175,-1
0.0009682504,-1
0.019888274,-1
0.9998616,1
0.9932856,1
0.00011476252,-1
0.9990152,1
0.009065771,-1
0.9999852,1
0.99999666,1
0.9999492,1
0.00019871745,-1
0.20808545,-1
0.9912615,1
0.00021114519,-1
7.7289325e-05,-1
0.9999999,1
1.6082457e-05,-1
0.999964,1
0.8108081,1
0.99999845,1
0.9999968,1
0.98540676,1
0.98657924,1
0.99941134,1
0.0007651268,-1
0.9999956,1
0.9850492,1
0.9999988,1
1.0,1
0.9998753,1
0.0007984944,-1
0.0023344883,-1
0.9999713,1
0.00016464606,-1
0.9999964,1
1.8012182e-05,-1
0.99994683,1
0.99999845,1
0.9683211,1
0.0002965751,-1
0.9999573,1
0.0025751106,-1
0.9999856,1
0.001106828,-1
0.0018316887,-1
0.91711825,1
0.9999857,1
0.0005043763,-1
3.4521807e-05,-1
0.91250706,1
0.9995003,1
0.9999877,1
0.00020082525,-1
0.0001655997,-1
7.589868e-05,-1
0.002396439,-1
0.9999999,1
0.00049859926,-1
1.6788645e-05,-1
0.00019438767,-1
0.9999882,1
0.99855787,1
1.0,1
0.999998,1
0.0013502261,-1
0.99990404,1
0.99999595,1
0.99999106,1
0.0007036106,-1
1.0,1
0.00091880653,-1
0.0027476195,-1
0.00031061558,-1
0.9848102,1
0.99998355,1
0.996965,1
0.0027716176,-1
0.00079931284,-1
2.7279393e-05,-1
0.99997556,1
8.828103e-05,-1
0.99999607,1
0.00019566611,-1
0.999997,1
0.9999888,1
0.99999356,1
0.99999964,1
0.999569,1
0.0012156038,-1
0.9999418,1
0.013910153,-1
0.99999154,1
1.0,1
0.9999701,1
0.99999905,1
0.99998975,1
0.0024216797,-1
0.00017350278,-1
0.9999764,1
0.0005342313,-1
0.002907582,-1
0.0014000281,-1
9.216195e-05,-1
0.0041366266,-1
0.63676083,-1
0.000112291375,-1
0.9999957,1
0.9999999,1
2.115517e-05,-1
6.9733806e-06,-1
0.041859783,-1
0.0027539062,-1
0.00021255514,-1
0.9999999,1
2.1890311e-05,-1
0.99981886,1
0.83518285,1
0.00013009744,-1
0.99998295,1
0.9999995,1
0.99999976,1
0.99999845,1
2.5912268e-05,-1
0.7618855,1
0.00016952177,-1
0.9999957,1
0.0014359512,-1
0.0008912443,-1
0.0001390256,-1
0.00015034605,-1
0.0022011634,-1
0.9999901,1
3.4672386e-05,-1
0.00010924626,-1
0.5996983,-1
0.000115175404,-1
0.9999926,1
0.984053,1
3.3404405e-05,-1
0.00081328175,-1
0.99996924,1
0.00018618707,-1
0.031547625,-1
0.0019342788,-1
0.00019996084,-1
0.0005089187,-1
0.00044976213,-1
0.66093206,-1
0.9915639,1
0.6787908,1
7.004769e-05,-1
0.0016192942,-1
0.99999726,1
4.1598287e-05,-1
9.159334e-06,-1
0.0026347246,-1
0.9999994,1
0.999979,1
0.99996364,1
0.99985063,1
0.0010818822,-1
0.9999831,1
0.77136195,1
0.9999963,1
0.9973132,1
0.003873054,-1
2.8881539e-05,-1
0.0005496523,-1
5.1006195e-05,-1
0.00024624294,-1
0.99999833,1
0.0016380496,-1
0.0003044693,-1
0.9999832,1
0.00014307925,-1
0.00023466012,-1
0.99999964,1
4.8865404e-06,-1
0.00011833586,-1
0.3315788,-1
0.0006794271,-1
0.999984,1
0.9999771,1
0.00017288943,-1
0.999995,1
0.0045886487,-1
0.0013568552,-1
0.9914172,1
3.489966e-05,-1
1.0,1
0.000239999,-1
0.00048272804,-1
0.98111504,1
0.99999774,1
0.00038018054,-1
0.9999939,1
0.99993575,1
0.98897356,1
0.0012254579,-1
4.953003e-05,-1
0.00013528451,-1
0.9999989,1
0.9999995,1
0.981198,1
0.99999344,1
0.9999883,1
0.9999999,1
0.99934834,1
0.99997914,1
0.0026743412,-1
0.9992041,1
0.9999268,1
0.9999999,1
0.99999416,1
0.99938357,1
0.9999999,1
0.0001426436,-1
1.6660299e-05,-1
0.00039928828,-1
0.0043307496,-1
0.0015396153,-1
1.7682377e-06,-1
0.095000625,-1
0.99057114,1
0.99202746,1
0.99100596,1
0.00048071996,-1
0.99999976,1
0.9999734,1
0.0010801263,-1
0.9952178,1
0.0006609771,-1
0.9955706,1
0.35610136,-1
0.9999932,1
0.004409931,-1
0.0062134024,-1
0.0061313473,-1
0.007141092,1
0.9999771,1
0.0002487098,-1
0.99661833,1
0.00025778584,-1
0.9965475,1
0.9999993,1
0.99998677,1
0.00155987,-1
8.464702e-05,-1
4.850622e-06,-1
0.00014538948,-1
0.99998283,1
0.00015207333,-1
0.99998045,1
0.9997054,1
0.9804325,1
1.0,1
9.3581824e-05,-1
0.9999958,1
0.00094940385,-1
9.1026755e-05,-1
6.330473e-05,-1
0.9999864,1
0.0005709934,-1
0.00067564513,-1
0.9999974,1
0.00066737743,-1
6.354388e-05,-1
1.2871909e-05,-1
0.99999833,1
0.00033681004,-1
0.9999912,1
0.00064466085,-1
0.9999877,1
3.7319528e-06,-1
0.9845701,1
0.9993248,1
0.0012166372,-1
0.99999595,1
0.00039298326,-1
0.99999857,1
0.99999356,1
0.64580405,1
7.0812353e-06,-1
0.9999889,1
0.99995077,1
0.9999962,1
0.00011097471,-1
7.287289e-05,-1
0.8121887,1
0.9949995,1
0.00030658807,-1
0.9999914,1
0.0005528951,-1
0.9999968,1
2.8690847e-06,-1
0.9990356,1
0.9953982,1
0.07424218,-1
0.99998367,1
0.9999993,1
0.00014984055,-1
0.04850985,-1
2.8197383e-07,-1
0.99999285,1
0.99998105,1
0.9999999,1
0.0023911733,-1
0.0003027361,-1
2.7509628e-05,-1
6.118942e-05,-1
0.9997757,1
0.8654377,1
0.9999969,1
