0,1,2
-73.85093,-23.383945,5.980389
30.021921,-36.612934,-3.9464748
12.116518,-71.11001,-36.391434
56.180733,-47.33822,18.387434
-1.7122415,16.364386,87.340294
-18.656857,89.18482,15.687253
28.015398,63.289127,29.47311
-52.3652,59.234417,44.011086
-73.70381,33.21926,43.18909
-27.256598,9.205529,-16.866669
9.193031,-55.563747,30.00835
38.339745,-49.223835,38.49936
-25.226461,54.841908,37.117546
3.1772385,49.524143,59.34643
-47.052258,-7.695995,-68.831375
-7.1607547,-15.1381855,-53.3382
-25.647772,73.8522,-24.177673
13.884984,33.58798,60.472496
-15.895178,30.584507,27.104876
-22.9459,-28.246935,-16.595343
20.508272,9.3166895,-5.8336515
-9.369883,50.59582,-30.24462
41.284527,26.610094,-30.02526
-28.788626,3.4720545,5.305394
60.130856,-41.26803,-12.482591
-65.71806,-52.224648,34.45904
2.3806584,62.28375,0.78677136
-33.90573,40.451424,-39.883476
-47.136864,25.713661,21.008297
-47.772297,-28.000483,-72.42891
-17.906284,28.91039,-68.65749
26.8159,-60.694798,57.824684
9.497464,-59.10808,21.02075
-50.391815,0.38212353,-62.920662
-18.340414,18.229052,-38.31311
55.42615,1.4608138,49.137093
33.270473,-27.963797,24.248602
-12.867091,29.377922,-24.777168
-24.358744,-37.761337,-31.174332
84.01345,33.341877,-17.057768
80.25952,10.740209,16.51289
2.6056144,-5.37628,-19.770084
-36.379055,31.998259,-12.557932
-31.099035,-56.446426,31.409906
-30.209335,-39.662548,51.058453
-43.14924,36.5357,15.068095
22.248035,52.30337,-31.301144
-4.402026,2.691942,12.020319
32.64722,-33.927963,58.828465
44.91403,-34.116585,15.795156
-8.650004,-24.482685,-17.373653
13.624713,12.751984,-7.810967
26.02586,-20.112305,-37.1078
17.107327,-34.969765,14.288164
-85.07905,19.440317,-16.922739
27.744736,4.593496,14.367951
16.261831,-0.5682141,17.497505
18.367136,26.390835,0.83210206
-12.935989,71.22312,-13.437351
-31.523298,-43.529022,-54.053535
-33.73547,24.237906,61.317345
28.274366,-52.95955,-48.691986
-2.3009257,-16.22291,21.546799
-36.14415,-46.342754,46.41513
25.931185,-46.77227,-40.53553
5.963349,17.27204,-50.563274
-29.615974,-78.35362,-27.399767
-33.68214,6.6938496,-78.70782
20.595232,52.344303,-36.818634
12.084609,-0.5757801,-51.698723
19.82885,6.8703566,18.0881
-11.868882,-41.3379,-29.6557
-51.730923,-35.639824,-42.570557
8.354077,-62.15578,-26.315046
0.3094139,-32.612057,-34.449093
-33.16682,52.50434,67.804665
-47.506348,67.028404,21.130291
35.271503,-78.11383,29.50285
10.890152,24.95402,62.039368
-48.486843,-5.2333207,21.107553
58.264927,-16.74263,38.451057
-25.561226,-29.593966,-24.012264
-38.169247,58.125557,-19.842884
-19.664633,-29.607069,9.075014
-51.705944,2.4147134,73.953575
-12.189268,21.494501,-5.244768
38.07199,-17.370138,-9.542057
40.210545,8.717226,53.117622
48.118294,-50.876717,23.634352
-36.593693,-8.428823,79.8661
-31.968712,-23.187616,-39.534527
-3.962307,74.18341,51.964764
6.2375736,35.189957,25.482775
-31.182013,-4.2121983,-43.922062
31.950167,50.534103,-3.0210638
-39.02569,-56.248055,42.42605
28.8722,-27.486307,-5.9634233
-68.88169,5.059405,23.184183
-7.2572002,-75.160126,-15.4692335
-15.776682,-24.91709,0.9849128
72.172874,26.837803,-13.344799
41.536194,-52.959354,8.0539055
-86.420166,22.16729,5.893626
26.367168,-34.546257,29.20017
53.897305,-5.3343573,4.9799237
-40.594463,-24.631933,32.10015
29.888863,42.809185,59.437885
42.189476,32.80131,72.96908
-13.25603,55.052616,-11.672699
22.936527,58.298374,51.193066
-20.890753,-40.030643,54.219097
0.69638324,28.103203,-51.42188
42.41827,-44.48789,28.166552
38.96766,23.42644,-70.92909
73.64587,19.250504,-53.25086
-47.50155,9.132192,37.152992
12.518707,-88.45069,18.128597
64.57487,-61.82301,-9.971951
14.403206,-53.56227,57.006702
13.031717,9.981018,8.40859
-62.45129,-32.96341,-18.992252
-58.97468,-47.273853,-0.7898872
63.26544,-16.277168,-1.0676376
39.788445,-1.097141,43.651966
-24.394108,-62.708813,17.30389
12.920465,-2.5342133,60.485725
-2.704789,-32.60616,47.45014
12.354866,20.559557,47.852
52.884037,-27.07158,51.84019
-20.894491,33.433754,8.681096
-63.804207,20.711607,45.51552
81.76818,-40.153255,-0.9085317
23.926052,-32.314926,8.207487
23.299953,7.557537,-12.725961
-29.782852,9.232416,46.27186
-17.863615,-59.206306,-30.041912
12.545105,-35.899418,21.392834
30.45222,53.322723,-51.766037
1.7092029,66.317856,19.495455
-6.2877903,-0.99799544,-3.5482314
-10.1878805,51.84684,74.043335
64.20222,17.283762,-35.31669
18.854963,-16.182734,-42.77268
31.481823,-52.581184,64.8547
0.6627654,13.940222,-31.08407
-22.21737,28.085154,-32.327686
-13.834235,-49.72691,-13.967781
-29.886179,-16.855421,25.859184
-20.792799,31.895922,39.847706
-79.61477,13.848938,10.342388
25.357103,-37.975864,51.707638
15.930346,-18.333769,27.035374
14.107657,30.321812,-56.68383
7.592396,-43.213467,55.936844
21.041458,0.95371497,-67.62757
29.760242,-34.56778,44.14937
-11.318686,11.106321,74.52377
-74.78203,15.88693,-35.970554
5.426107,36.112568,7.6918154
24.096437,50.76744,1.1598766
-7.474916,-4.2486277,-60.26884
26.774141,69.41348,-19.119644
25.03785,-38.362476,-5.7790685
-258.41,440.8181,3.25344
-12.346354,-65.260475,-18.020596
-26.85168,-22.902462,-26.315414
16.830336,-59.286785,-19.419031
49.93499,12.867413,26.53363
-0.97207874,-1.4046657,41.1366
-6.1914887,-4.5805464,36.15341
-34.967342,40.436054,-65.307365
34.57826,18.300755,53.180172
32.560455,23.287325,31.493252
-17.313217,-0.24003965,1.8270326
5.9381256,9.289026,-4.127081
-17.816551,38.917145,24.265282
-6.220623,-45.890278,-79.83742
-23.240292,8.802476,28.711555
51.962,-33.015335,42.597298
-31.01351,61.84554,16.046188
3.9394732,-23.08437,83.71163
-64.731384,-16.033545,-32.24636
-1.9348495,28.528978,88.16812
29.635342,-23.384249,76.49797
-55.578518,-56.473454,-42.14534
47.98827,-0.46071023,56.705746
73.407814,-31.840036,7.9018106
-32.81808,-57.584404,20.857288
-6.6337667,-52.59637,-12.65178
-58.04281,19.853739,-18.698313
-45.488064,-36.659927,15.003757
-17.908384,3.0489008,8.371143
-59.77927,-0.57765234,7.540318
59.969795,51.48053,17.66965
56.583733,3.3094494,59.501507
-0.56547564,50.68207,43.127644
-12.167116,-5.321932,47.1152
72.201126,26.981897,7.423583
72.69309,25.385595,43.573547
24.570137,80.18646,-13.227265
-42.770344,-70.493065,11.608533
60.915146,-9.43648,5.1613317
49.75162,-41.037796,-2.1264467
25.462824,46.532738,-42.44171
19.659832,19.978357,41.97836
-34.185062,53.565327,-23.663895
-47.717884,-45.92174,-28.219618
-8.8477125,33.905025,31.56493
-60.282745,64.2961,-12.041316
-13.19012,-14.893494,-47.656963
-0.7556965,-71.579956,22.870037
15.285861,53.007664,-25.135677
-76.75977,-24.507345,19.063522
28.419815,-32.3842,4.948716
72.13469,27.74261,-2.9944713
55.95967,29.146841,-15.94133
41.40876,-26.294851,35.337475
0.33088118,-62.743107,15.19326
22.005415,-3.585301,24.28004
-35.439987,-15.235743,18.17815
-13.555137,-9.003982,8.271401
0.6773138,-55.197662,19.421934
-68.779366,30.775282,-4.865859
44.621525,-19.119234,42.595745
-70.87857,-0.07861248,28.565886
-27.857552,43.328293,-33.742252
-33.821644,27.321674,-52.559612
-23.101858,-16.264442,-0.5298922
29.44247,-33.617043,19.602701
76.0734,11.74286,-23.232918
-87.70357,-15.469668,-18.132103
38.91145,51.15818,-30.704779
52.269623,7.8377924,-10.233972
-4.046645,-16.099955,-64.208984
-21.288034,5.0781255,-37.216557
51.807247,14.662812,6.7498107
40.4052,51.221226,50.06927
-43.631756,19.566587,-24.292227
-27.88898,9.188608,10.374826
-41.20385,-2.9519517,29.94706
-38.418575,5.0145125,42.370537
-6.148663,32.739956,-37.633465
8.135193,40.449646,-43.37948
14.734145,42.0401,-44.45791
-18.158691,-75.88125,44.73492
-74.58604,20.599607,16.642372
16.441393,34.53958,47.867462
-8.667869,23.12596,7.768718
