0,978,15,1
1,602,14,1
2,689,0,1
3,685,2,1
4,212,23,1
5,494,23,-1
6,703,8,-1
7,603,18,-1
8,242,26,1
9,177,17,-1
10,720,19,-1
11,408,18,-1
12,709,5,1
13,805,20,1
14,430,17,-1
15,394,20,1
16,146,14,-1
17,961,0,-1
18,614,7,1
19,84,5,1
20,184,13,-1
21,943,21,1
22,552,20,1
23,27,15,1
24,269,9,1
25,920,5,1
26,518,20,1
27,692,13,-1
28,187,25,1
29,835,22,-1
30,595,16,-1
31,953,19,1
32,509,5,1
33,439,13,-1
34,9,22,-1
35,841,0,1
36,736,11,-1
37,475,5,1
38,437,21,1
39,834,4,-1
40,710,19,-1
41,571,21,1
42,379,2,1
43,688,16,-1
44,132,20,1
45,73,1,1
46,737,26,1
47,715,15,-1
48,960,18,-1
49,227,16,-1
50,924,15,1
51,631,9,1
52,942,17,1
53,123,21,1
54,463,16,-1
55,576,0,-1
56,618,3,-1
57,248,5,1
58,818,25,1
59,133,0,-1
60,439,5,1
61,18,20,-1
62,479,4,-1
63,425,16,-1
64,603,14,-1
65,571,15,1
66,830,7,-1
67,800,20,1
68,975,20,1
69,842,22,-1
70,704,25,1
71,438,21,1
72,345,2,1
73,913,2,1
74,64,20,1
75,99,20,-1
76,122,8,-1
77,943,23,1
78,43,15,1
79,327,15,1
80,495,19,-1
81,738,15,1
82,268,20,1
83,109,5,1
84,644,20,-1
85,797,13,-1
86,705,5,1
87,560,4,-1
88,657,16,-1
89,136,3,-1
90,119,4,-1
91,353,2,1
92,238,19,-1
93,359,23,1
94,911,19,-1
95,478,13,-1
96,59,0,1
97,469,13,-1
98,594,17,-1
99,25,22,-1
100,579,21,1
101,69,19,-1
102,702,26,1
103,739,7,1
104,895,21,1
105,954,26,1
106,149,16,-1
107,16,2,1
108,713,19,-1
109,613,16,-1
110,223,17,1
111,521,13,-1
112,492,0,-1
113,48,20,1
114,840,15,1
115,8,8,-1
116,386,0,-1
117,522,16,-1
118,643,17,1
119,504,13,-1
120,71,4,-1
121,852,1,1
122,772,13,-1
123,223,23,1
124,56,16,-1
125,781,20,1
126,963,20,1
127,509,21,1
128,904,17,1
129,351,15,1
130,457,9,1
131,710,13,-1
132,412,22,1
133,587,1,-1
134,156,16,-1
135,491,19,-1
136,412,14,1
137,91,13,-1
138,59,21,1
139,205,7,1
140,911,16,-1
141,138,7,-1
142,706,5,1
143,632,16,-1
144,401,1,-1
145,307,2,1
146,270,16,-1
147,56,4,-1
148,693,21,1
149,911,14,-1
150,483,25,1
151,633,15,1
152,537,15,1
153,570,5,1
154,240,22,-1
155,462,13,-1
156,25,13,-1
157,879,7,1
158,797,20,1
159,24,12,1
160,45,1,-1
161,687,15,1
162,461,5,1
163,281,13,-1
164,758,21,1
165,552,17,1
166,495,13,-1
167,532,25,-1
168,53,4,-1
169,454,20,-1
170,642,22,1
171,198,13,-1
172,967,25,-1
173,514,7,1
174,678,11,-1
175,54,13,-1
176,445,10,-1
177,631,0,-1
178,250,4,-1
179,799,7,-1
180,856,9,1
181,251,23,1
182,82,0,1
183,55,16,-1
184,801,23,1
185,590,15,1
186,741,20,1
187,251,5,1
188,10,14,1
189,294,20,1
190,926,21,1
191,406,22,-1
192,471,2,1
193,130,5,1
194,768,15,1
195,499,22,1
196,250,15,1
197,586,4,-1
198,916,4,-1
199,389,15,1
200,697,5,1
201,901,5,1
202,32,16,-1
203,493,16,-1
204,581,21,1
205,564,5,-1
206,715,1,-1
207,139,22,1
208,97,9,1
209,778,11,-1
210,856,13,-1
211,455,18,-1
212,655,13,-1
213,146,26,-1
214,876,22,1
215,543,20,1
216,545,22,-1
217,820,23,1
218,93,0,1
219,245,17,1
220,872,26,1
221,965,15,1
222,316,13,-1
223,879,21,1
224,824,19,1
225,478,5,1
226,784,8,-1
227,851,16,-1
228,881,19,-1
229,102,26,1
230,574,5,1
231,122,0,-1
232,948,11,1
233,898,23,1
234,944,20,1
235,760,13,-1
236,777,15,1
237,882,22,1
238,689,21,1
239,528,15,1
240,502,14,-1
241,780,17,1
242,369,7,-1
243,517,2,1
244,743,17,-1
245,579,0,1
246,413,22,-1
247,567,13,-1
248,628,22,1
249,964,23,1
250,632,3,-1
251,316,19,-1
252,379,15,1
253,721,1,-1
254,18,15,1
255,497,13,-1
256,810,17,-1
257,912,21,-1
258,728,4,-1
259,723,5,1
260,544,1,-1
261,794,19,-1
262,613,22,-1
263,583,12,-1
264,731,24,-1
265,539,13,1
266,791,17,1
267,54,15,1
268,475,21,1
269,455,8,-1
270,801,15,1
271,279,15,-1
272,395,21,1
273,76,15,1
274,195,9,1
275,364,20,1
276,209,19,-1
277,331,25,-1
278,778,16,-1
279,827,22,1
280,73,14,1
281,735,20,1
282,29,3,-1
283,407,13,-1
284,905,23,1
285,722,13,-1
286,416,22,1
287,108,13,-1
288,316,3,-1
289,249,1,1
290,676,16,-1
291,441,4,-1
292,625,13,1
293,750,15,1
294,843,17,-1
295,681,21,1
296,144,20,1
297,365,13,-1
298,391,22,1
299,718,13,-1
300,610,25,1
301,807,18,-1
302,270,13,-1
303,257,4,-1
304,419,24,-1
305,372,4,-1
306,209,1,-1
307,975,23,1
308,955,4,-1
309,718,5,1
310,809,21,1
311,955,16,-1
312,164,0,-1
313,869,18,-1
314,914,11,-1
315,726,15,1
316,8,10,-1
317,807,15,1
318,587,12,-1
319,231,21,1
320,472,21,1
321,519,21,1
322,68,15,1
323,807,14,-1
324,271,23,1
325,409,22,1
326,635,5,1
327,247,16,-1
328,335,1,1
329,621,13,-1
330,502,15,1
331,574,22,1
332,423,21,1
333,279,3,-1
334,348,17,1
335,338,18,-1
336,405,5,1
337,881,24,-1
338,853,19,-1
339,988,16,-1
340,286,20,1
341,725,0,-1
342,425,14,-1
343,911,22,-1
344,173,16,-1
345,657,26,1
346,146,8,-1
347,494,19,-1
348,580,9,1
349,721,14,-1
350,746,5,1
351,827,21,1
352,922,5,1
353,700,22,-1
354,316,0,-1
355,568,21,1
356,262,20,1
357,655,5,1
358,372,1,-1
359,832,4,-1
360,865,0,1
361,316,16,-1
