0,1102,26,1
1,15,28,1
2,309,300,-1
3,2569,118,-1
4,3546,301,-1
5,2332,302,-1
6,2635,302,-1
7,3217,79,-1
8,2687,53,-1
9,131,8,1
10,68,149,1
11,886,9,1
12,2754,303,-1
13,1612,14,1
14,125,9,1
15,2057,81,-1
16,2884,79,-1
17,62,91,1
18,917,5,1
19,396,16,1
20,2264,304,-1
21,1824,79,-1
22,1172,30,1
23,31,19,1
24,1443,79,-1
25,686,25,1
26,740,304,-1
27,806,302,-1
28,26,4,1
29,3208,301,-1
30,426,6,1
31,462,5,1
32,292,32,1
33,3039,303,-1
34,1551,97,-1
35,866,0,1
36,175,63,1
37,572,34,1
38,2564,300,-1
39,44,26,1
40,1544,301,-1
41,175,143,1
42,621,301,-1
43,173,301,-1
44,2925,167,-1
45,853,304,-1
46,2966,301,-1
47,2577,303,-1
48,623,34,1
49,3427,303,-1
50,373,32,1
51,838,9,1
52,384,16,1
53,770,53,-1
54,307,34,1
55,3468,302,-1
56,3074,140,-1
57,1959,24,1
58,744,8,1
59,3572,302,-1
60,1526,9,1
61,468,303,-1
62,1230,9,1
63,3229,79,-1
64,1010,60,-1
65,1830,26,1
66,3102,302,-1
67,1010,248,-1
68,3209,316,-1
69,2154,7,1
70,3532,301,-1
71,2840,301,-1
72,772,114,-1
73,2334,13,1
74,2317,301,-1
75,2688,263,-1
76,1831,35,1
77,881,35,1
78,2759,304,-1
79,2477,304,-1
80,1158,79,-1
81,350,0,1
82,405,4,1
83,169,199,1
84,1625,13,1
85,792,16,1
86,512,13,1
87,3361,303,-1
88,3599,301,-1
89,62,3,1
90,520,14,1
91,2184,304,-1
92,3353,114,-1
93,969,263,-1
94,2654,304,-1
95,273,26,1
96,738,302,-1
97,1345,300,-1
98,543,34,1
99,2512,301,-1
100,45,9,1
101,655,8,1
102,356,8,1
103,767,14,1
104,99,76,1
105,2566,301,-1
106,2289,14,1
107,2941,304,-1
108,142,47,1
109,1421,5,1
110,315,39,1
111,1322,13,1
112,2000,301,-1
113,2328,237,-1
114,2555,330,-1
115,102,45,1
116,468,7,1
117,87,39,1
118,2868,301,-1
119,1503,223,1
120,1500,14,1
121,1422,0,1
122,2516,313,-1
123,59,29,1
124,226,26,1
125,860,9,1
126,2113,7,1
127,1967,301,-1
128,280,97,-1
129,897,1,1
130,3385,302,-1
131,275,14,1
132,1752,79,-1
133,2807,20,-1
134,3336,302,-1
135,3331,301,-1
136,2962,301,-1
137,68,192,1
138,2516,302,-1
139,2559,177,-1
140,487,23,1
141,2279,4,1
142,161,79,-1
143,3047,263,-1
144,2569,67,-1
145,1214,4,1
146,344,4,1
147,2691,304,-1
148,75,304,-1
149,933,8,1
150,1668,35,1
151,2752,304,-1
152,2117,300,-1
153,1196,9,1
154,3039,263,-1
155,981,32,1
156,2278,13,1
157,2876,302,-1
158,313,301,-1
159,62,114,1
160,261,16,1
161,2498,79,-1
162,1182,23,1
163,290,154,1
164,2465,302,-1
165,3577,302,-1
166,1591,35,1
167,3398,301,-1
168,3140,301,-1
169,105,3,1
170,3453,301,-1
171,2540,301,-1
172,713,23,1
173,2577,79,-1
174,1407,304,-1
175,62,46,1
176,1526,302,-1
177,531,79,-1
178,2469,302,-1
179,1971,14,1
180,1581,0,1
181,151,35,1
182,2567,303,-1
183,1540,23,1
184,2402,9,1
185,2430,303,-1
186,2405,14,1
187,372,4,1
188,573,9,1
189,2688,304,-1
190,1513,9,1
191,3663,307,-1
192,112,4,1
193,50,32,1
194,2665,210,-1
195,1931,302,-1
196,963,16,1
197,872,189,1
198,547,44,1
199,1862,232,-1
200,680,7,1
201,2601,307,-1
202,459,302,-1
203,2493,173,-1
204,3532,302,-1
205,2515,302,-1
206,1745,16,1
207,1571,33,1
208,1071,301,-1
209,2491,79,-1
210,1319,32,1
211,1770,301,-1
212,1604,13,1
213,1600,167,-1
214,2529,304,-1
215,1501,67,1
216,1986,7,1
217,1278,34,1
218,3339,301,-1
219,2594,162,-1
220,1926,16,1
221,314,25,1
222,1095,304,-1
223,3033,300,-1
224,2751,300,-1
225,2430,118,-1
226,2328,118,1
