0,17,12,1
1,968,253,-1
2,3395,31,1
3,3401,79,-1
4,860,43,1
5,358,126,-1
6,1016,349,-1
7,4240,110,-1
8,332,11,1
9,4478,262,1
10,3404,38,1
11,3404,3,1
12,1072,109,-1
13,1804,97,-1
14,4271,74,1
15,3145,38,1
16,1713,268,-1
17,2531,32,1
18,342,15,-1
19,1550,30,1
20,3171,72,1
21,3065,352,-1
22,1843,78,-1
23,3216,72,1
24,816,13,-1
25,1730,238,-1
26,2840,138,-1
27,1672,40,1
28,3048,246,-1
29,749,43,1
30,4508,80,-1
31,2089,51,-1
32,2472,143,-1
33,3552,35,1
34,4085,34,1
35,615,240,-1
36,4037,38,1
37,3931,3,1
38,3900,36,1
39,3886,73,1
40,2347,134,-1
41,997,144,-1
42,3906,2,1
43,4609,227,1
44,4337,391,-1
45,4072,186,-1
46,4567,354,1
47,109,43,1
48,2611,1,1
49,2740,4,1
50,4524,439,-1
51,2516,0,1
52,706,53,1
53,1126,43,1
54,2555,72,1
55,127,43,1
56,645,210,-1
57,2994,72,1
58,3339,32,1
59,3580,153,-1
60,3265,103,-1
61,4192,75,1
62,3665,0,1
63,4161,39,1
64,2917,313,-1
65,4363,10,1
66,260,43,1
67,1220,43,1
68,1287,19,-1
69,438,30,1
70,4614,219,1
71,1812,0,1
72,2508,0,1
73,3225,76,1
74,2573,60,-1
75,3999,289,-1
76,2248,435,-1
77,4065,306,-1
78,1957,3,1
79,2178,40,1
80,209,30,1
81,70,30,1
82,3,9,1
83,2035,39,1
84,2110,4,1
85,3524,72,1
86,3905,246,-1
87,1137,383,-1
88,3019,288,-1
89,138,30,1
90,2335,76,1
91,2612,76,1
92,2303,232,-1
93,3156,3,1
94,465,272,-1
95,4508,225,1
96,1831,313,-1
97,4614,304,-1
98,1340,293,-1
99,1216,114,-1
100,482,434,-1
101,2292,315,-1
102,3878,132,-1
103,2813,4,1
104,3805,36,1
105,268,12,-1
106,2517,32,1
107,4508,224,1
108,1828,98,-1
109,2520,31,1
110,4031,1,1
111,2421,1,1
112,1762,315,-1
113,3113,342,-1
114,3325,244,-1
115,1656,167,-1
116,1094,398,-1
117,2544,33,1
118,2705,35,1
119,1110,76,-1
120,4478,224,1
121,377,173,-1
122,3629,435,-1
123,2796,0,1
124,1275,427,-1
125,2801,4,1
126,3401,173,-1
127,1723,55,-1
128,326,396,-1
129,4606,381,1
130,1650,405,-1
131,1496,43,1
132,1182,30,1
133,497,15,-1
134,3691,239,-1
135,3699,108,-1
136,132,421,-1
137,2736,305,-1
138,2273,174,-1
139,4610,232,1
